region,year,invest_total_mln_rub,sports_facilities_count,sports_facilities_per_10k_rural_pop,sports_schools_count,retail_shops_count,retail_shops_per_10k_rural_pop,catering_units_count,catering_units_per_10k_rural_pop,service_units_count,service_units_per_10k_rural_pop,household_service_points_count,household_service_points_per_10k_rural_pop,post_offices_count,post_offices_per_10k_rural_pop,housing_input_total_thousand_m2,housing_input_individual_share_percent,waste_removal_objects_count,container_sites_count,length_streets_total_km,length_streets_hard_surface_km,length_local_roads_km,length_hard_surface_roads_km,natural_resource_enterprises_count,natural_resource_enterprises_per_10k_rural_pop,fixed_assets_total_mln_rub,fixed_assets_per_capita_rub,housing_stock_total,housing_stock_per_capita,infrastructure_stock_total,infrastructure_stock_per_capita,health_facilities_count,health_facilities_per_10k_rural_pop,tourist_beds_count,tourist_beds_per_10k_rural_pop
Иркутская область,2024,835412.0,1714.0,1605.0,46.0,,,,,,,54.0,3.0,,,,,2244.6931,1077.0977,31765.4,9591.612,10513.4,7223.7,404.0,20232.0,,,,,,,776.0,,223.0,6061.0
Кабардино-Балкарская Республика,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.0,2655.0
Кабардино-Балкарская Республика,2022,131800.0,638.0,622.0,30.0,,,16.0,382.0,,,26.0,1.0,163.0,160.0,208508.0,,333.74,92.76,4346.1,1590.3,5265.5,3395.4,143.0,10.0,20.0,316.0,457.0,7076.0,281.0,3613.0,146.0,,126.0,2953.0
Кабардино-Балкарская Республика,2023,591400.0,,,,,,,,,,,,,,,,,,,,5390.8,3443.9,,,20.0,316.0,457.0,7076.0,281.0,3613.0,,,157.0,3153.0
Кабардино-Балкарская Республика,2024,76771.0,635.0,604.0,24.0,,,,,,,31.0,1.0,,,,,550.6488,226.4962,4576.7,1653.46,5647.5,3716.4,143.0,16546.0,,,,,,,147.0,,164.0,3358.0
Калининградская область,2022,483791.0,546.0,538.0,,,,24.0,529.0,,,,,1065.0,950.0,389830.0,,117.05,22.71,2198.9,933.6,2898.1,1839.9,,,22.0,75.0,841.0,2037.0,369.0,750.0,251.0,,,
Калининградская область,2023,,,,,,,,,,,,,,,,,,,,,2798.7,1714.8,,,22.0,75.0,841.0,2037.0,369.0,750.0,,,91.0,1710.0
Калининградская область,2024,,544.0,526.0,1.0,,,,,,,6.0,,,,,,16.2,4.1,2306.2,1085.94,2824.4,1718.0,,,,,,,,,263.0,,102.0,1940.0
Калужская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,2711.0
Калужская область,2022,283852.0,829.0,793.0,24.0,,,20.0,630.0,,,4.0,1.0,2760.0,2133.0,154863.0,,958.33,171.31,5063.0,2716.0,8857.3,3482.3,133.0,53.0,21.0,312.0,371.0,9025.0,211.0,4590.0,361.0,,75.0,2674.0
